name,path,row,lat,lon,lat_UL,lon_UL,lat_UR,lon_UR,lat_LL,lon_LL,lat_LR,lon_LR
73_122,73.000000,122.000000,-81.844418,87.975102,-80.929000,93.146000,-82.680000,94.365000,-80.929000,82.804000,-82.680000,81.585000
72_122,72.000000,122.000000,-81.844418,89.520167,-80.929000,94.691000,-82.680000,95.910000,-80.929000,84.349000,-82.680000,83.130000
71_122,71.000000,122.000000,-81.844418,91.065231,-80.929000,96.236000,-82.680000,97.455000,-80.929000,85.894000,-82.680000,84.676000
70_122,70.000000,122.000000,-81.844418,92.610295,-80.929000,97.782000,-82.680000,99.000000,-80.929000,87.439000,-82.680000,86.221000
69_122,69.000000,122.000000,-81.844418,94.155360,-80.929000,99.327000,-82.680000,100.545000,-80.929000,88.984000,-82.680000,87.766000
68_122,68.000000,122.000000,-81.844418,95.700424,-80.929000,100.872000,-82.680000,102.090000,-80.929000,90.529000,-82.680000,89.311000
67_122,67.000000,122.000000,-81.844418,97.245489,-80.929000,102.417000,-82.680000,103.635000,-80.929000,92.074000,-82.680000,90.856000
66_122,66.000000,122.000000,-81.844418,98.790553,-80.929000,103.962000,-82.680000,105.180000,-80.929000,93.619000,-82.680000,92.401000
65_122,65.000000,122.000000,-81.844418,100.335617,-80.929000,105.507000,-82.680000,106.725000,-80.929000,95.164000,-82.680000,93.946000
64_122,64.000000,122.000000,-81.844418,101.880682,-80.929000,107.052000,-82.680000,108.270000,-80.929000,96.709000,-82.680000,95.491000
63_122,63.000000,122.000000,-81.844418,103.425746,-80.929000,108.597000,-82.680000,109.815000,-80.929000,98.254000,-82.680000,97.036000
62_122,62.000000,122.000000,-81.844418,104.970810,-80.929000,110.142000,-82.680000,111.361000,-80.929000,99.800000,-82.680000,98.581000
61_122,61.000000,122.000000,-81.844418,106.515875,-80.929000,111.687000,-82.680000,112.906000,-80.929000,101.345000,-82.680000,100.126000
